Year,Global Avg Temperatures,Global 25-Year MA,Raleigh Avg Temperatures,Raleigh 25-Year MA,Dublin Avg Temperatures,Dublin 25-Year MA,Edinburgh Average Temps,Edinburg 25-Year MA,Tokyo Average Temps,Tokyo 25-Year MA,Rio Average Temps,Rio 25-Year MA,,,,,,,,,,,,,
1859,8.25,,14.48,,8.74,,7.57,,12.15,,23.04,,,,,,,,,,,,,,
1860,7.96,,14.49,,7.54,,6.22,,11.72,,23.91,,,,,,,,,,,,,,
1861,7.85,,14.38,,8.70,,7.59,,11.79,,23.04,,,,,,,,,,,,,,
1862,7.56,,14.32,,8.30,,7.31,,11.73,,23.04,,,,,,,,,,,,,,
1863,8.11,,14.05,,8.91,,7.85,,12.45,,22.95,,,,,,,,,,,,,,
1864,7.98,,14.10,,8.34,,6.98,,11.95,,23.02,,,,,,,,,,,,,,
1865,8.18,,14.57,,9.07,,7.73,,12.39,,22.89,,,,,,,,,,,,,,
1866,8.29,,14.21,,8.57,,7.53,,11.58,,23.10,,,,,,,,,,,,,,
1867,8.44,,13.84,,8.45,,7.26,,12.46,,23.26,,,,,,,,,,,,,,
1868,8.25,,13.40,,9.35,,8.39,,12.25,,24.32,,,,,,,,,,,,,,
1869,8.43,,14.15,,8.86,,7.61,,12.03,,24.20,,,,,,,,,,,,,,
1870,8.20,,14.39,,8.50,,7.32,,16.12,,24.22,,,,,,,,,,,,,,
1871,8.12,,14.73,,8.73,,7.35,,12.12,,23.84,,,,,,,,,,,,,,
1872,8.19,,13.35,,8.79,,7.81,,12.00,,23.75,,,,,,,,,,,,,,
1873,8.35,,13.78,,8.42,,7.43,,11.53,,23.94,,,,,,,,,,,,,,
1874,8.43,,14.43,,8.75,,7.63,,12.33,,23.23,,,,,,,,,,,,,,
1875,7.86,8.12,13.38,14.17,8.86,8.62,7.73,7.50,12.17,12.21,22.85,23.44,,,,,,,,,,,,,
1876,8.08,8.11,13.94,14.15,8.77,8.63,7.64,7.51,12.39,12.23,23.05,23.42,,,,,,,,,,,,,
1877,8.54,8.13,14.43,14.15,8.52,8.61,7.21,7.47,12.73,12.27,23.80,23.42,,,,,,,Year,Global,Raleigh,Dublin,Edinburgh,Tokyo,Rio de Janeiro
1878,8.83,8.16,14.56,14.15,8.75,8.63,7.68,7.50,12.24,12.29,24.30,23.45,,,,,,,1875,8.12,14.17,8.62,7.50,12.21,23.44
1879,8.17,8.16,14.51,14.13,7.17,8.57,5.98,7.43,12.82,12.31,22.84,23.41,,,,,,,2013,9.35,15.28,9.48,8.46,13.38,24.62
1880,8.12,8.16,14.83,14.14,8.52,8.60,7.54,7.47,12.43,12.30,24.01,23.41,,,,,,,Difference,1.23,1.11,0.85,0.95,1.17,1.18
1881,8.27,8.17,15.02,14.21,7.88,8.58,6.65,7.44,12.15,12.31,23.29,23.43,,,,,,,,,,,,,
1882,8.13,8.19,14.34,14.24,8.63,8.55,7.70,7.41,12.29,12.32,22.65,23.40,,,,,,,,,,,,,
1883,7.98,8.18,14.33,14.24,8.23,8.53,7.37,7.40,11.84,12.31,22.98,23.42,,,,,,,,,,,,,
1884,7.77,8.16,14.51,14.24,8.84,8.54,7.95,7.42,11.18,12.27,22.85,23.41,,,,,,,,,,,,,
1885,7.92,8.16,13.30,14.19,7.88,8.55,6.87,7.44,11.53,12.26,23.75,23.41,,,,,,,,,,,,,
1886,7.95,8.17,13.53,14.16,7.97,8.52,6.83,7.41,12.44,12.29,22.94,23.40,,,,,,,,,,,,,
1887,7.91,8.18,14.11,14.15,8.16,8.52,7.08,7.40,12.25,12.31,23.49,23.42,,,,,,,,,,,,,
1888,8.09,8.18,14.04,14.15,7.96,8.48,6.75,7.36,12.01,12.29,23.82,23.46,,,,,,,,,,,,,
1889,8.32,8.19,14.34,14.16,8.56,8.49,7.57,7.38,11.66,12.28,24.17,23.50,,,,,,,,,,,,,
1890,7.97,8.18,15.29,14.19,8.55,8.47,7.59,7.38,13.50,12.32,23.38,23.52,,,,,,,,,,,,,
1891,8.02,8.17,14.19,14.19,8.14,8.45,7.15,7.36,12.42,12.36,23.55,23.54,,,,,,,,,,,,,
1892,8.07,8.16,13.67,14.18,7.60,8.42,6.46,7.33,12.10,12.34,23.40,23.54,,,,,,,,,,,,,
1893,8.06,8.15,13.85,14.20,9.23,8.41,8.21,7.32,11.71,12.32,22.68,23.48,,,,,,,,,,,,,
1894,8.16,8.14,14.73,14.22,8.54,8.40,7.61,7.32,12.92,12.36,23.62,23.46,,,,,,,,,,,,,
1895,8.15,8.14,13.51,14.19,7.94,8.38,6.98,7.31,12.22,12.20,23.36,23.42,,,,,,,,,,,,,
1896,8.21,8.14,14.77,14.19,8.78,8.38,7.84,7.33,12.33,12.21,23.35,23.40,,,,,,,,,,,,,
1897,8.29,8.15,14.54,14.24,8.81,8.38,7.60,7.32,11.72,12.20,23.31,23.38,,,,,,,,,,,,,
1898,8.18,8.14,14.50,14.27,9.36,8.42,8.33,7.36,12.49,12.23,23.54,23.37,,,,,,,,,,,,,
1899,8.40,8.14,14.08,14.25,9.13,8.43,7.88,7.37,12.32,12.23,23.95,23.40,,,,,,,,,,,,,
1900,8.50,8.16,14.90,14.31,8.64,8.42,7.60,7.36,12.11,12.23,23.48,23.42,,,,,,,,,,,,,
1901,8.54,8.18,13.48,14.29,8.45,8.41,7.64,7.36,12.31,12.23,23.07,23.42,,,,,,,,,,,,,
1902,8.30,8.17,14.22,14.29,8.39,8.40,7.09,7.36,12.22,12.21,23.99,23.43,,,,,,,,,,,,,
1903,8.22,8.15,14.01,14.26,8.44,8.39,7.37,7.35,12.34,12.21,23.73,23.41,,,,,,,,,,,,,
1904,8.09,8.14,13.16,14.21,8.45,8.44,7.38,7.40,12.29,12.19,23.17,23.42,,,,,,,,,,,,,
1905,8.23,8.15,13.89,14.17,8.66,8.45,7.65,7.41,12.03,12.18,23.84,23.41,,,,,,,,,,,,,
1906,8.38,8.15,14.53,14.15,8.62,8.48,7.67,7.45,11.66,12.16,23.74,23.43,,,,,,,,,,,,,
1907,7.95,8.15,14.05,14.14,8.28,8.46,7.23,7.43,11.97,12.14,23.36,23.46,,,,,,,,,,,,,
1908,8.19,8.15,14.29,14.14,8.95,8.49,7.79,7.44,11.72,12.14,23.57,23.48,,,,,,,,,,,,,
1909,8.18,8.17,14.38,14.13,8.18,8.47,6.99,7.41,12.04,12.17,23.33,23.50,,,,,,,,,,,,,
1910,8.22,8.18,14.08,14.17,8.48,8.49,7.49,7.43,12.00,12.19,23.31,23.49,,,,,,,,,,,,,
1911,8.18,8.19,15.04,14.23,9.03,8.53,8.20,7.49,12.81,12.21,23.36,23.50,,,,,,,,,,,,,
1912,8.17,8.20,14.11,14.23,8.52,8.55,7.52,7.50,12.32,12.21,23.48,23.50,,,,,,,,,,,,,
1913,8.30,8.21,14.95,14.26,8.84,8.58,7.95,7.55,11.72,12.20,23.72,23.50,,,,,,,,,,,,,
1914,8.59,8.22,14.01,14.25,9.05,8.60,8.23,7.58,13.10,12.25,24.28,23.50,,,,,,,,,,,,,
1915,8.59,8.25,14.28,14.21,8.19,8.59,7.14,7.56,12.74,12.22,24.06,23.53,,,,,,,,,,,,,
1916,8.23,8.26,14.41,14.22,8.66,8.61,7.55,7.58,13.10,12.25,23.52,23.53,,,,,,,,,,,,,
1917,8.02,8.25,13.16,14.20,8.08,8.63,7.05,7.60,12.04,12.25,22.62,23.50,,,,,,,,,,,,,
1918,8.13,8.26,14.27,14.21,8.85,8.61,7.74,7.58,12.19,12.27,23.26,23.52,,,,,,,,,,,,,
1919,8.38,8.26,14.90,14.22,8.04,8.59,6.91,7.55,12.59,12.26,23.73,23.53,,,,,,,,,,,,,
1920,8.36,8.27,13.70,14.23,8.94,8.63,7.91,7.59,12.69,12.27,23.64,23.54,,,,,,,,,,,,,
1921,8.57,8.29,15.69,14.27,9.80,8.67,8.59,7.62,12.12,12.27,23.41,23.54,,,,,,,,,,,,,
1922,8.41,8.29,14.98,14.28,8.25,8.65,7.02,7.60,12.86,12.31,23.91,23.56,,,,,,,,,,,,,
1923,8.42,8.30,14.68,14.29,8.51,8.62,7.26,7.55,12.64,12.32,23.85,23.58,,,,,,,,,,,,,
1924,8.51,8.31,13.67,14.27,8.69,8.60,7.59,7.54,12.35,12.32,23.25,23.55,,,,,,,,,,,,,
1925,8.53,8.31,14.94,14.28,8.45,8.59,7.49,7.54,12.19,12.32,23.49,23.55,,,,,,,,,,,,,
1926,8.73,8.32,14.32,14.31,9.08,8.62,8.00,7.55,11.74,12.30,23.83,23.58,,,,,,,,,,,,,
1927,8.52,8.32,14.90,14.34,8.64,8.63,7.40,7.56,12.19,12.30,23.67,23.57,,,,,,,,,,,,,
1928,8.63,8.34,14.24,14.35,8.83,8.64,7.59,7.57,12.42,12.30,24.09,23.58,,,,,,,,,,,,,
1929,8.24,8.35,14.43,14.40,8.65,8.65,7.37,7.57,12.44,12.31,23.80,23.60,,,,,,,,,,,,,
1930,8.63,8.36,14.65,14.43,8.59,8.65,7.64,7.57,13.00,12.35,24.04,23.61,,,,,,,,,,,,,
1931,8.72,8.38,15.33,14.46,8.71,8.65,7.33,7.56,12.16,12.37,23.54,23.60,,,,,,,,,,,,,
1932,8.71,8.41,15.39,14.51,8.99,8.68,7.90,7.59,12.67,12.39,24.23,23.64,,,,,,,,,,,,,
1933,8.34,8.41,15.72,14.57,9.36,8.70,8.39,7.61,12.69,12.43,23.01,23.62,,,,,,,,,,,,,
1934,8.63,8.43,14.72,14.58,9.36,8.74,8.43,7.67,11.85,12.42,23.79,23.64,,,,,,,,,,,,,
1935,8.52,8.44,14.51,14.60,8.95,8.76,7.87,7.68,12.25,12.43,23.89,23.66,,,,,,,,,,,,,
1936,8.55,8.46,14.61,14.58,8.83,8.75,7.76,7.67,12.09,12.41,24.02,23.69,,,,,,,,,,,,,
1937,8.70,8.48,14.49,14.60,8.78,8.76,7.70,7.67,12.86,12.43,23.61,23.69,,,,,,,,,,,,,
1938,8.86,8.50,15.25,14.61,9.35,8.79,8.49,7.69,12.60,12.46,23.92,23.70,,,,,,,,,,,,,
1939,8.76,8.51,15.37,14.66,9.13,8.79,8.13,7.69,12.72,12.45,23.95,23.69,,,,,,,,,,,,,
1940,8.76,8.51,13.87,14.65,8.87,8.82,7.42,7.70,12.66,12.44,24.17,23.69,,,,,,,,,,,,,
1941,8.77,8.54,15.09,14.68,8.55,8.81,7.34,7.69,12.61,12.42,24.22,23.72,,,,,,,,,,,,,
1942,8.73,8.56,14.84,14.74,8.71,8.84,7.38,7.71,12.80,12.46,23.86,23.77,,,,,,,,,,,,,
1943,8.76,8.59,14.85,14.77,9.33,8.86,8.30,7.73,12.48,12.47,23.54,23.78,,,,,,,,,,,,,
1944,8.85,8.61,14.62,14.75,9.07,8.90,7.94,7.77,12.16,12.45,23.85,23.78,,,,,,,,,,,,,
1945,8.58,8.62,15.05,14.81,9.75,8.93,8.67,7.80,11.62,12.41,23.61,23.78,,,,,,,,,,,,,
1946,8.68,8.62,15.38,14.80,8.82,8.89,7.82,7.77,12.86,12.44,24.34,23.82,,,,,,,,,,,,,
1947,8.80,8.64,14.26,14.77,8.80,8.91,7.70,7.80,11.99,12.40,23.63,23.81,,,,,,,,,,,,,
1948,8.75,8.65,14.85,14.77,9.34,8.95,8.17,7.83,13.18,12.42,24.02,23.81,,,,,,,,,,,,,
1949,8.59,8.65,15.59,14.85,9.85,8.99,8.81,7.88,12.62,12.43,23.56,23.83,,,,,,,,,,,,,
1950,8.37,8.65,14.72,14.84,8.70,9.00,7.67,7.89,13.21,12.47,24.03,23.85,,,,,,,,,,,,,
1951,8.63,8.64,14.81,14.86,8.48,8.98,7.47,7.87,12.72,12.51,23.25,23.83,,,,,,,,,,,,,
1952,8.64,8.65,15.07,14.87,8.56,8.97,7.38,7.87,12.65,12.53,23.97,23.84,,,,,,,,,,,,,
1953,8.87,8.66,15.63,14.92,9.39,9.00,8.54,7.90,12.51,12.54,24.01,23.83,,,,,,,,,,,,,
1954,8.56,8.67,15.12,14.95,8.67,9.00,7.57,7.91,12.76,12.55,24.22,23.85,,,,,,,,,,,,,
1955,8.63,8.67,14.79,14.96,8.85,9.01,7.68,7.91,13.42,12.57,23.62,23.83,,,,,,,,,,,,,
1956,8.28,8.65,15.06,14.95,8.66,9.01,7.43,7.92,12.61,12.58,23.47,23.83,,,,,,,,,,,,,
1957,8.73,8.65,15.17,14.94,9.33,9.02,8.28,7.93,12.66,12.58,23.97,23.82,,,,,,,,,,,,,
1958,8.77,8.67,13.80,14.86,8.91,9.00,7.56,7.90,13.09,12.60,24.62,23.89,,,,,,,,,,,,,
1959,8.73,8.67,15.09,14.88,9.72,9.02,8.67,7.91,13.50,12.67,24.61,23.92,,,,,,,,,,,,,
1960,8.58,8.68,14.01,14.86,8.98,9.02,8.02,7.92,13.26,12.71,23.80,23.91,,,,,,,,,,,,,
1961,8.80,8.69,14.46,14.85,9.08,9.03,8.07,7.93,13.66,12.77,24.64,23.94,,,,,,,,,,,,,
1962,8.75,8.69,14.19,14.84,8.24,9.01,7.10,7.90,13.01,12.77,23.44,23.93,,,,,,,,,,,,,
1963,8.86,8.69,13.92,14.78,8.04,8.95,6.92,7.84,12.71,12.78,24.29,23.95,,,,,,,,,,,,,
1964,8.41,8.68,14.51,14.75,8.99,8.95,7.83,7.83,12.93,12.79,23.47,23.93,,,,,,,,,,,,,
1965,8.53,8.67,14.71,14.78,8.31,8.93,7.13,7.82,12.27,12.77,24.30,23.93,,,,,,,,,,,,,
1966,8.60,8.66,13.96,14.74,8.88,8.94,7.51,7.82,12.81,12.78,24.36,23.94,,,,,,,,,,,,,
1967,8.70,8.66,14.06,14.71,8.83,8.94,7.99,7.85,12.85,12.78,24.20,23.95,,,,,,,,,,,,,
1968,8.52,8.65,14.15,14.68,8.85,8.92,7.61,7.82,12.75,12.79,23.30,23.94,,,,,,,,,,,,,
1969,8.60,8.64,13.96,14.65,8.61,8.91,7.48,7.80,12.64,12.81,24.15,23.96,,,,,,,,,,,,,
1970,8.70,8.64,14.81,14.64,8.94,8.87,7.74,7.77,12.35,12.84,24.06,23.97,,,,,,,,,,,,,
1971,8.60,8.64,14.77,14.62,9.40,8.90,8.31,7.79,12.52,12.83,24.00,23.96,,,,,,,,,,,,,
1972,8.50,8.63,14.34,14.62,8.56,8.89,7.64,7.78,13.17,12.87,24.41,23.99,,,,,,,,,,,,,
1973,8.95,8.64,14.98,14.63,9.06,8.88,7.89,7.77,12.96,12.87,24.38,24.01,,,,,,,,,,,,,
1974,8.47,8.63,14.85,14.60,8.76,8.83,7.81,7.73,12.23,12.85,23.92,24.02,,,,,,,,,,,,,
1975,8.74,8.65,14.98,14.61,9.37,8.86,8.22,7.75,12.72,12.83,23.57,24.00,,,,,,,,,,,,,
1976,8.35,8.63,14.10,14.58,9.16,8.89,8.15,7.78,12.19,12.81,23.77,24.02,,,,,,,,,,,,,
1977,8.85,8.64,14.59,14.56,8.84,8.90,7.68,7.79,12.94,12.82,24.64,24.05,,,,,,,,,,,,,
1978,8.69,8.64,14.02,14.50,8.89,8.88,7.62,7.76,13.05,12.84,24.01,24.05,,,,,,,,,,,,,
1979,8.73,8.64,14.14,14.46,8.12,8.86,7.06,7.74,13.83,12.89,23.61,24.02,,,,,,,,,,,,,
1980,8.98,8.66,14.50,14.45,8.85,8.86,7.74,7.74,12.35,12.84,24.35,24.05,,,,,,,,,,,,,
1981,9.17,8.69,14.06,14.41,8.78,8.86,7.48,7.74,12.06,12.82,24.02,24.08,,,,,,,,,,,,,
1982,8.64,8.69,14.68,14.39,9.08,8.85,7.99,7.73,12.91,12.83,24.02,24.08,,,,,,,,,,,,,
1983,9.03,8.70,14.38,14.41,9.37,8.87,8.14,7.75,12.64,12.81,24.14,24.06,,,,,,,,,,,,,
1984,8.69,8.70,14.79,14.40,9.07,8.84,8.09,7.73,11.98,12.75,24.62,24.06,,,,,,,,,,,,,
1985,8.66,8.70,15.09,14.44,8.34,8.82,7.25,7.70,12.90,12.74,24.10,24.07,,,,,,,,,,,,,
1986,8.83,8.70,15.32,14.47,8.03,8.77,7.04,7.66,12.22,12.68,24.75,24.08,,,,,,,,,,,,,
1987,8.99,8.71,14.78,14.50,8.66,8.79,7.33,7.67,13.41,12.70,24.55,24.12,,,,,,,,,,,,,
1988,9.20,8.73,14.12,14.51,9.16,8.84,8.11,7.71,12.44,12.68,24.00,24.11,,,,,,,,,,,,,
1989,8.92,8.75,14.47,14.50,9.57,8.86,8.57,7.74,13.35,12.70,24.07,24.13,,,,,,,,,,,,,
1990,9.23,8.77,16.23,14.57,9.59,8.91,8.68,7.81,14.14,12.78,24.64,24.15,,,,,,,,,,,,,
1991,9.18,8.80,15.85,14.64,9.07,8.92,7.99,7.82,13.32,12.80,24.25,24.14,,,,,,,,,,,,,
1992,8.84,8.80,14.57,14.66,9.07,8.93,8.05,7.83,12.94,12.80,24.24,24.14,,,,,,,,,,,,,
1993,8.87,8.82,14.92,14.69,8.85,8.93,7.59,7.83,12.49,12.79,24.65,24.20,,,,,,,,,,,,,
1994,9.04,8.83,14.98,14.73,9.13,8.95,8.07,7.85,13.78,12.84,24.71,24.22,,,,,,,,,,,,,
1995,9.35,8.86,14.79,14.73,9.75,8.98,8.49,7.88,12.98,12.86,24.77,24.25,,,,,,,,,,,,,
1996,9.04,8.88,14.37,14.72,8.85,8.96,7.71,7.86,12.61,12.86,24.28,24.26,,,,,,,,,,,,,
1997,9.20,8.91,14.55,14.72,9.95,9.01,8.87,7.90,13.43,12.87,24.71,24.27,,,,,,,,,,,,,
1998,9.52,8.93,16.13,14.77,9.71,9.04,8.56,7.93,13.74,12.91,24.78,24.29,,,,,,,,,,,,,
1999,9.29,8.96,15.48,14.80,9.75,9.08,8.74,7.97,13.78,12.97,24.01,24.29,,,,,,,,,,,,,
2000,9.20,8.98,14.75,14.79,9.43,9.08,8.48,7.98,13.50,13.00,24.36,24.32,,,,,,,,,,,,,
2001,9.41,9.02,15.29,14.83,9.27,9.09,8.15,7.98,13.13,13.04,24.99,24.37,,,,,,,,,,,,,
2002,9.57,9.05,15.62,14.88,9.75,9.12,8.76,8.02,13.42,13.06,25.18,24.39,,,,,,,,,,,,,
2003,9.53,9.08,14.82,14.91,9.80,9.16,8.95,8.08,12.89,13.05,24.90,24.43,,,,,,,,,,,,,
2004,9.32,9.11,15.27,14.95,9.77,9.23,8.92,8.15,14.05,13.06,24.24,24.45,,,,,,,,,,,,,
2005,9.70,9.14,15.32,14.99,9.91,9.27,8.85,8.19,12.99,13.08,24.79,24.47,,,,,,,,,,,,,
